category,count,mean_score,std_score,min_score,max_score,model
数量相关,42,0.5810443510599116,0.3932482138670988,0.0,1.0,完整模型
其他,256,0.5511739817687145,0.3079631459649493,0.0,1.0,完整模型
工作原理,45,0.5356501490582061,0.32778970688963427,0.0,1.0,完整模型
功能作用,482,0.48978324885636837,0.31580997669846983,0.0,1.0,完整模型
部件识别,2498,0.4589907127955067,0.3407845370115989,0.0,1.0,完整模型
指定页面,2593,0.4457824877372353,0.3396580175892227,0.0,1.0,完整模型
位置关系,1243,0.44563273535503717,0.31152602143010066,0.0,1.0,完整模型
连接关系,446,0.43225460842794733,0.3541579638588285,0.0,1.0,完整模型
数量相关,5,0.65,0.43588989435406733,0.0,1.0,最简模型
工作原理,5,0.5495051319648094,0.3690970754852187,0.1935483870967742,1.0,最简模型
其他,31,0.4524588222785003,0.31490017987126184,0.0,1.0,最简模型
功能作用,67,0.44806611150225545,0.3327467784344534,0.0,1.0,最简模型
位置关系,176,0.3960446954515669,0.2947926501731231,0.0,1.0,最简模型
部件识别,355,0.35426324879608145,0.3155281466750449,0.0,1.0,最简模型
指定页面,368,0.33044498118472804,0.302781850506447,0.0,1.0,最简模型
连接关系,66,0.2940225381592643,0.3217222088912395,0.0,1.0,最简模型
工作原理,5,0.5589898989898989,0.36094718324845027,0.22222222222222227,1.0,无检索
数量相关,5,0.4714285714285714,0.43880635866879053,0.0,1.0,无检索
功能作用,67,0.4458515544120549,0.3336354696569503,0.0,1.0,无检索
其他,31,0.43794460973844995,0.32820122367123206,0.0,1.0,无检索
位置关系,176,0.38910110903331513,0.30067687348617544,0.0,1.0,无检索
部件识别,355,0.341210856736273,0.31965808856232847,0.0,1.0,无检索
指定页面,368,0.3144873110864268,0.29946488456425124,0.0,1.0,无检索
连接关系,66,0.26637512478131864,0.31288354897491955,0.0,1.0,无检索
