idx,question,pred,gold,score,em,rouge1,categories,use_cot,cot_type
0,根据专利描述，智能消防门通过何种方式在发生灾情时降低烟雾浓度并阻挡火势蔓延？,降低烟雾浓度并阻挡火势蔓延,通过烟雾温度传感头感应到高温或烟雾浓度变化，触发喷水机构进行喷水。,0.13043478260869565,0.0,0.17391304347826086,['其他'],False,unknown
1,根据专利描述，该装置的主要功能是什么？,板单元U肋快速组装定位,用于U肋的快速组装定位。,0.5217391304347826,0.0,0.6956521739130435,"['部件识别', '功能作用']",False,unknown
2,根据专利文本，哪个部件用于克服正负极磁铁的吸附力以打开存放空腔？,定位穿孔,分离拉板,0.0,0.0,0.0,"['部件识别', '功能作用']",False,unknown
3,根据专利文本，本发明解决的主要技术问题是什么？,提高横剪线上下料机运输效率,提供一种横剪线上下料机，能够自动上下料，避免人员操作隐患，重负载且定位精度高，运输平稳，产品在上下料专机与立体仓库之间转接运输流畅，极大的提高了运输效率。,0.21666666666666667,0.0,0.2888888888888889,['部件识别'],False,unknown
4,在文件中第7页的图中，编号为22的部件相对于编号为12的部件的位置关系是？,在12的上方,位于其右上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown
5,在文件中第7页提供的图中，编号为9的部件相对于编号为6的部件的位置关系是？,位于部件6的左侧,位于其左侧,0.46153846153846156,0.0,0.6153846153846154,"['位置关系', '部件识别', '指定页面']",False,unknown
6,根据文件中第7页的示意图，如果需要调整位移板(5)的位置，可能需要先调整哪个部件？,位移驱动器(6),位移驱动器(6),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
7,根据文本，本实用新型的地面安全阀紧急泄压装置的主要功能是什么？,实现紧急泄压,用于在压力异常时紧急泄压，提高安全性。,0.24,0.0,0.32,"['部件识别', '功能作用']",False,unknown
8,根据文本信息，如果需要提高垂直输送过程中物品的平稳性和安全性，本实用新型采用了什么控制方式？,自动控制,自动控制,1.0,1.0,1.0,['工作原理'],False,unknown
9,在文件中第6页的示意图中，部件6相对于部件14的位置关系是什么？,部件6位于部件14的下方,部件6位于部件14的下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
10,在文件中第6页的示意图中，部件22位于部件2的哪个位置？,底部,底部,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown
11,根据文件中第6页的示意图，如果轿厢需要上升，哪个部件会同时下降以起到平衡作用？,配重架,配重架,1.0,1.0,1.0,"['部件识别', '功能作用', '指定页面']",False,unknown
12,参考文件中第6页的示意图，缆绳32一端连接固定板14，另一端绕过天轮41后，穿过哪个部件上的过孔最终连接到固定板14？,导向轮(31),主机架,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
13,根据专利文本，哪个部件负责驱动滑动箱移动以调节位置？,一号电机,丝杆和一号电机,0.5454545454545454,0.0,0.7272727272727273,"['位置关系', '部件识别']",False,unknown
14,在文件中第6页的图中，部件15（控制面板）相对于部件10（取样筒）的位置是：,位于部件10的左侧,在部件10的左下方,0.5,0.0,0.6666666666666666,"['位置关系', '指定页面']",False,unknown
15,在文件中第6页的图中，部件4（丝杆）相对于部件6（滑动箱）的位置关系是：,位于部件6的内部,部件4与部件6螺纹连接,0.31578947368421056,0.0,0.4210526315789474,"['位置关系', '指定页面']",False,unknown
16,如果文件中第6页的顶板（图中未标号，但属于下样机构部件）与固定块14接触，接下来哪个部件会直接动作？,电磁铁(84),一号滑板,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
17,在文件中第6页的图中，如果螺旋输送杆发生故障停止工作，哪个部件将直接受到影响？,下料斗,取样筒内的媒料,0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown
18,根据专利文本，在厌氧运转时，采取什么措施来防止水上升到电机附近并堵塞开口孔？,在空心轴1的轴方向具有间隔地形成多个开口孔,在空心轴的轴方向具有间隔地形成多个开口孔。,0.7142857142857142,0.0,0.9523809523809523,['其他'],False,unknown
19,根据专利文本，哪个部件的设置能够避免传动皮带出现偏移？,限位环,限位环,1.0,1.0,1.0,['部件识别'],False,unknown
20,参考文件中第6页的图片，编号为201的部件相对于编号为1的部件的位置关系是？,位于右侧,位于上方,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown
21,参考文件中第6页的图片，气缸（5）位于哪个部件的下方？,顶板(4),顶板,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown
