idx,question,pred,gold,score,em,rouge1,categories,use_cot,cot_type
0,根据专利描述，智能消防门通过何种方式在发生灾情时降低烟雾浓度并阻挡火势蔓延？,降低烟雾浓度并阻挡火势蔓延,通过烟雾温度传感头感应到高温或烟雾浓度变化，触发喷水机构进行喷水。,0.13043478260869565,0.0,0.17391304347826086,['其他'],False,unknown
1,根据专利描述，该装置的主要功能是什么？,用于板单元U肋的快速组装定位,用于U肋的快速组装定位。,0.6346153846153846,0.0,0.8461538461538461,"['部件识别', '功能作用']",False,unknown
2,根据专利文本，哪个部件用于克服正负极磁铁的吸附力以打开存放空腔？,分离拉板,分离拉板,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
3,根据专利文本，本发明解决的主要技术问题是什么？,提高横剪线上下料机定位精度和运输效率,提供一种横剪线上下料机，能够自动上下料，避免人员操作隐患，重负载且定位精度高，运输平稳，产品在上下料专机与立体仓库之间转接运输流畅，极大的提高了运输效率。,0.26842105263157895,0.0,0.35789473684210527,['部件识别'],False,unknown
4,在文件中第7页的图中，编号为22的部件相对于编号为12的部件的位置关系是？,在12的上方,位于其右上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown
5,在文件中第7页提供的图中，编号为9的部件相对于编号为6的部件的位置关系是？,位于部件6的后方,位于其左侧,0.23076923076923078,0.0,0.3076923076923077,"['位置关系', '部件识别', '指定页面']",False,unknown
6,根据文件中第7页的示意图，如果需要调整位移板(5)的位置，可能需要先调整哪个部件？,部件(4),位移驱动器(6),0.23076923076923078,0.0,0.3076923076923077,"['位置关系', '部件识别', '指定页面']",False,unknown
7,根据文本，本实用新型的地面安全阀紧急泄压装置的主要功能是什么？,实现地面安全阀紧急关断和开启,用于在压力异常时紧急泄压，提高安全性。,0.18181818181818182,0.0,0.24242424242424243,"['部件识别', '功能作用']",False,unknown
8,根据文本信息，如果需要提高垂直输送过程中物品的平稳性和安全性，本实用新型采用了什么控制方式？,曳引机驱动限速机构控制输送带自动送入和移出托盘,自动控制,0.22222222222222227,0.0,0.29629629629629634,['工作原理'],False,unknown
9,在文件中第6页的示意图中，部件6相对于部件14的位置关系是什么？,部件6位于部件14的下方,部件6位于部件14的下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
10,在文件中第6页的示意图中，部件22位于部件2的哪个位置？,底部,底部,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown
11,根据文件中第6页的示意图，如果轿厢需要上升，哪个部件会同时下降以起到平衡作用？,对重,配重架,0.30000000000000004,0.0,0.4,"['部件识别', '功能作用', '指定页面']",False,unknown
12,参考文件中第6页的示意图，缆绳32一端连接固定板14，另一端绕过天轮41后，穿过哪个部件上的过孔最终连接到固定板14？,导向轮(3),主机架,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
13,根据专利文本，哪个部件负责驱动滑动箱移动以调节位置？,一号电机,丝杆和一号电机,0.5454545454545454,0.0,0.7272727272727273,"['位置关系', '部件识别']",False,unknown
14,在文件中第6页的图中，部件15（控制面板）相对于部件10（取样筒）的位置是：,位于部件10的左侧,在部件10的左下方,0.5,0.0,0.6666666666666666,"['位置关系', '指定页面']",False,unknown
15,在文件中第6页的图中，部件4（丝杆）相对于部件6（滑动箱）的位置关系是：,位于部件6的内部,部件4与部件6螺纹连接,0.31578947368421056,0.0,0.4210526315789474,"['位置关系', '指定页面']",False,unknown
16,如果文件中第6页的顶板（图中未标号，但属于下样机构部件）与固定块14接触，接下来哪个部件会直接动作？,弹簧12,一号滑板,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
17,在文件中第6页的图中，如果螺旋输送杆发生故障停止工作，哪个部件将直接受到影响？,部件14,取样筒内的媒料,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
18,根据专利文本，在厌氧运转时，采取什么措施来防止水上升到电机附近并堵塞开口孔？,在空心轴的下端部设置螺旋桨,在空心轴的轴方向具有间隔地形成多个开口孔。,0.2205882352941176,0.0,0.2941176470588235,['其他'],False,unknown
19,根据专利文本，哪个部件的设置能够避免传动皮带出现偏移？,限位环,限位环,1.0,1.0,1.0,['部件识别'],False,unknown
20,参考文件中第6页的图片，编号为201的部件相对于编号为1的部件的位置关系是？,位于右侧,位于上方,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown
21,参考文件中第6页的图片，气缸（5）位于哪个部件的下方？,横梁（3）,顶板,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown
22,在文件中第6页的示意图中，如果需要调节打孔钻头的高度，应该调整哪个部件？,部件7,气缸,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
23,在文件中第6页的示意图中，如果要固定待加工工件的上侧面，需要调节定位机构中的哪个部件？,部件204,螺纹杆,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
24,根据文本信息，本发明的关键特征是什么？,使用微生物生产氢气,使用其上截留和固定化产氢气耐酸细菌的球粒在pH4到6环境下生产氢气。,0.20930232558139533,0.0,0.27906976744186046,['部件识别'],False,unknown
25,在文件中第15页的示意图中，观察12X的上方，其管路连接的部件是什么？,部件18,气体管20X,0.0,0.0,0.0,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown
26,在文件中第15页的示意图中，编号16的部件相对于编号12X的部件的位置是什么？,在编号12X的部件的右侧,位于12X的底部,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown
27,根据文件中第15页的示意图，若要调节氢气发酵器12Y内的pH值，需要通过哪个部件实现？,部件26Y,通过pH控制装置14Y控制开关阀26Y，调节pH调解物供给管24Y的流量,0.1097560975609756,0.0,0.14634146341463414,"['部件识别', '指定页面']",False,unknown
28,观察文件中第15页的示意图，发酵原料进入第一氢气发酵器12X后，下一步骤是什么？,发酵原料从第一氢气发酵器12X的底部流出，进入第二氢气发酵器12Y,经过废液管22X进入第二氢气发酵器12Y,0.39622641509433953,0.0,0.5283018867924527,"['部件识别', '指定页面']",False,unknown
29,根据专利文本，竖井支架安装用移动平台的主要功能是什么？,用于竖井支架的安装,用于竖井支架的安装。,0.9605263157894737,1.0,0.9473684210526316,"['部件识别', '功能作用', '连接关系']",False,unknown
30,在文件中第5页的图中，编号为3的部件是什么?,支撑杆,定位杆,0.25,0.0,0.3333333333333333,"['部件识别', '指定页面']",False,unknown
31,在文件中第5页的图中，编号为9的部件相对于编号为7的部件的位置关系是：,位于上方,位于编号7的上方且相交,0.4,0.0,0.5333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown
32,在文件中第5页的图中，如果工作人员站在支撑网格6上，并且需要更稳定的支撑，可以通过哪个部件来实现？,支撑杆4,通过支撑架2与竖井壁接触提供支撑。,0.14285714285714285,0.0,0.19047619047619047,"['部件识别', '指定页面']",False,unknown
33,在文件中第5页的图中，如果需要提高支撑台1的支撑强度，除了支撑架2外，还可以依靠哪个部件？,支撑柱3,加强杆9,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown
34,根据文本信息，压铸镶嵌件自动加热上料机的作用是什么？,用于将物料送至加热机构，对物料进行加热，再将物料送至压铸机,利用加热原理去除金属套表面油膜，并在膨胀状态下安装金属套,0.10526315789473686,0.0,0.14035087719298248,"['部件识别', '功能作用']",False,unknown
35,根据专利描述，哪个部件用于在外接法兰盘抵触在档杆上时，方便和法兰盘进行对齐，有助于提升连接效率，降低工作人员的劳动强度？,转轴,档杆(7),0.0,0.0,0.0,"['部件识别', '功能作用', '连接关系']",False,unknown
36,根据专利文本，该安全登高架的主要目的是为了解决什么问题？,解决梯子不稳、收纳不便、占用空间大的问题,解决维修时普通梯子不稳固和占用空间大的问题,0.5121951219512195,0.0,0.6829268292682926,['功能作用'],False,unknown
37,根据文件中第6页的图片，U型卡座(4)相对于顶板(1.1)的位置关系是什么？,位于顶板(1.1)的右侧,U型卡座(4)套接在顶板(1.1)侧边,0.3870967741935485,0.0,0.5161290322580646,"['位置关系', '部件识别', '指定页面']",False,unknown
38,根据文件中第6页图片，连接杆(3)与底板(1.2)是如何连接的？,螺栓(1.21)连接,连接杆(3)通过螺钉与底板(1.2)固定连接,0.3750000000000001,0.0,0.5000000000000001,"['连接关系', '指定页面']",False,unknown
39,根据文件中第6页的图片，如果需要将爬梯组件折叠收起，首先需要操作哪个部件以释放连接套筒？,部件4,滑块(7)（图中未标注，但文本中有提及),0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown
40,根据文本信息，该低烧损双室熔化炉脱硫脱硝装置的主要目的是什么？,解决颗粒物堵塞过滤装置的问题,解决烟气中颗粒物质堵塞过滤装置的问题,0.6562500000000001,0.0,0.8750000000000001,"['部件识别', '功能作用']",False,unknown
41,在文件中第6页的图中，编号为23的部件相对于净化箱(3)的位置是：,位于净化箱(3)的内部,位于净化箱(3)的右侧,0.6136363636363636,0.0,0.8181818181818182,"['位置关系', '部件识别', '指定页面']",False,unknown
42,在文件中第6页的图中，通风口(17)相对于通风管(16)的位置是：,位于通风管(16)的上方,位于通风管(16)的上方,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown
43,观察文件中第6页的示意图，烟气从熔化炉本体(1)排出后，最先经过哪个部件？,烟气净化装置(2),吸尘管(6),0.2,0.0,0.26666666666666666,"['部件识别', '指定页面']",False,unknown
44,根据文件中第6页的示意图，储液箱(18)通过哪个部件直接连接到净化箱(3)的内部？,部件(22),输送管(20),0.34615384615384615,0.0,0.4615384615384615,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown
45,根据专利文本，本发明旨在解决什么技术问题？,解决喷房喷漆效率低、漆雾量大、操作人员健康受影响、结构复杂、成本高的问题,有效分离漆雾，保障操作人员健康,0.2647058823529412,0.0,0.35294117647058826,['其他'],False,unknown
46,根据文件中第6页的图片，哪个部件位于喷房主体(1)的最底部？,部件9,可调地脚(9),0.15000000000000002,0.0,0.2,"['位置关系', '部件识别', '指定页面']",False,unknown
47,根据文件中第6页的图片，集气罩(5)位于哪个部件的正下方？,电机(6),离心风机(6),0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown
48,根据文件中第6页的示意图，如果水从溢水槽(4)流出，经过水帘挡板，最终会流向哪里？,水箱(1),喷房主体底部的水池,0.10714285714285714,0.0,0.14285714285714285,"['位置关系', '指定页面']",False,unknown
49,根据文件中第6页的示意图，如果要调节喷房的高度，应该操作哪个部件？,部件9,可调地脚(9),0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown
50,根据文本信息，转炉副枪探头泥头组装装置中，哪个部件是用来控制汽缸活塞上下运动的？,脚踩阀,脚踩阀,1.0,1.0,1.0,"['部件识别', '功能作用']",False,unknown
51,观察文件中第6页的图片，气压表相对于散热器的位置是什么？,位于散热器的右侧,位于散热器的右侧,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown
52,观察文件中第6页的图片，如果需要启动该气泵，首先需要操作哪个部件？操作后需要观察哪个部件？,操作电机，观察压力表,首先操作开关，然后观察气压表。,0.42000000000000004,0.0,0.56,"['部件识别', '指定页面']",False,unknown
53,观察文件中第6页的图片，如果需要搬运气泵，手握哪个部件最方便？,手柄,气泵手柄,0.5,0.0,0.6666666666666666,"['部件识别', '指定页面']",False,unknown
54,根据文本信息，聚乳酸的原料是什么？,乳酸,缩合乳酸,0.5,0.0,0.6666666666666666,['部件识别'],False,unknown
55,根据文本信息，卧式反应槽中的堰的作用是什么？,用于将被反应物质从卧式反应槽中排出,阻止反应液从供给口向排出口快速流动,0.22058823529411764,0.0,0.29411764705882354,"['部件识别', '功能作用']",False,unknown
56,在文件中第27页的图中，编号7的部件相对于编号6的部件的位置关系是？,在编号6的部件的右侧,位于编号6的部件的右侧,0.6428571428571429,0.0,0.8571428571428572,"['位置关系', '指定页面']",False,unknown
