idx,question_普通模型,pred_普通模型,gold_普通模型,score_普通模型,em_普通模型,rouge1_普通模型,categories_普通模型,use_cot_普通模型,cot_type_普通模型,question_COT模型,pred_COT模型,gold_COT模型,score_COT模型,em_COT模型,rouge1_COT模型,categories_COT模型,use_cot_COT模型,cot_type_COT模型,score_diff
0,根据专利描述，智能消防门通过何种方式在发生灾情时降低烟雾浓度并阻挡火势蔓延？,降低烟雾浓度并阻挡火势蔓延,通过烟雾温度传感头感应到高温或烟雾浓度变化，触发喷水机构进行喷水。,0.13043478260869565,0.0,0.17391304347826086,['其他'],False,unknown,根据专利描述，智能消防门通过何种方式在发生灾情时降低烟雾浓度并阻挡火势蔓延？,降低烟雾浓度并阻挡火势蔓延,通过烟雾温度传感头感应到高温或烟雾浓度变化，触发喷水机构进行喷水。,0.13043478260869565,0.0,0.17391304347826086,['其他'],False,other,0.0
1,根据专利描述，该装置的主要功能是什么？,板单元U肋快速组装定位,用于U肋的快速组装定位。,0.5217391304347826,0.0,0.6956521739130435,"['部件识别', '功能作用']",False,unknown,根据专利描述，该装置的主要功能是什么？,板单元U肋快速组装定位装置,用于U肋的快速组装定位。,0.48,0.0,0.64,"['部件识别', '功能作用']",True,identification,0.04173913043478261
2,根据专利文本，哪个部件用于克服正负极磁铁的吸附力以打开存放空腔？,定位穿孔,分离拉板,0.0,0.0,0.0,"['部件识别', '功能作用']",False,unknown,根据专利文本，哪个部件用于克服正负极磁铁的吸附力以打开存放空腔？,分离拉板,分离拉板,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,-1.0
3,根据专利文本，本发明解决的主要技术问题是什么？,提高横剪线上下料机运输效率,提供一种横剪线上下料机，能够自动上下料，避免人员操作隐患，重负载且定位精度高，运输平稳，产品在上下料专机与立体仓库之间转接运输流畅，极大的提高了运输效率。,0.21666666666666667,0.0,0.2888888888888889,['部件识别'],False,unknown,根据专利文本，本发明解决的主要技术问题是什么？,提供一种横剪线上下料机,提供一种横剪线上下料机，能够自动上下料，避免人员操作隐患，重负载且定位精度高，运输平稳，产品在上下料专机与立体仓库之间转接运输流畅，极大的提高了运输效率。,0.1875,0.0,0.25,['部件识别'],True,identification,0.029166666666666674
4,在文件中第7页的图中，编号为22的部件相对于编号为12的部件的位置关系是？,在12的上方,位于其右上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页的图中，编号为22的部件相对于编号为12的部件的位置关系是？,部件22在部件12的右上方,位于其右上方,0.23684210526315788,0.0,0.3157894736842105,"['位置关系', '部件识别', '指定页面']",True,position,0.013157894736842118
5,在文件中第7页提供的图中，编号为9的部件相对于编号为6的部件的位置关系是？,位于部件6的左侧,位于其左侧,0.46153846153846156,0.0,0.6153846153846154,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页提供的图中，编号为9的部件相对于编号为6的部件的位置关系是？,部件6在部件9的左侧,位于其左侧,0.2,0.0,0.26666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.26153846153846155
6,根据文件中第7页的示意图，如果需要调整位移板(5)的位置，可能需要先调整哪个部件？,位移驱动器(6),位移驱动器(6),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第7页的示意图，如果需要调整位移板(5)的位置，可能需要先调整哪个部件？,位移驱动器(6),位移驱动器(6),1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
7,根据文本，本实用新型的地面安全阀紧急泄压装置的主要功能是什么？,实现紧急泄压,用于在压力异常时紧急泄压，提高安全性。,0.24,0.0,0.32,"['部件识别', '功能作用']",False,unknown,根据文本，本实用新型的地面安全阀紧急泄压装置的主要功能是什么？,结构简单、提高安全性的地面安全阀紧急泄压装置,用于在压力异常时紧急泄压，提高安全性。,0.32926829268292684,0.0,0.43902439024390244,"['部件识别', '功能作用']",True,identification,-0.08926829268292685
8,根据文本信息，如果需要提高垂直输送过程中物品的平稳性和安全性，本实用新型采用了什么控制方式？,自动控制,自动控制,1.0,1.0,1.0,['工作原理'],False,unknown,根据文本信息，如果需要提高垂直输送过程中物品的平稳性和安全性，本实用新型采用了什么控制方式？,自动控制,自动控制,1.0,1.0,1.0,['工作原理'],False,other,0.0
9,在文件中第6页的示意图中，部件6相对于部件14的位置关系是什么？,部件6位于部件14的下方,部件6位于部件14的下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，部件6相对于部件14的位置关系是什么？,部件6位于部件14的下方,部件6位于部件14的下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
10,在文件中第6页的示意图中，部件22位于部件2的哪个位置？,底部,底部,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown,在文件中第6页的示意图中，部件22位于部件2的哪个位置？,部件22位于部件2的下方,底部,0.10714285714285714,0.0,0.14285714285714285,"['位置关系', '指定页面']",True,position,0.8928571428571429
11,根据文件中第6页的示意图，如果轿厢需要上升，哪个部件会同时下降以起到平衡作用？,配重架,配重架,1.0,1.0,1.0,"['部件识别', '功能作用', '指定页面']",False,unknown,根据文件中第6页的示意图，如果轿厢需要上升，哪个部件会同时下降以起到平衡作用？,配重架(4),配重架,0.5,0.0,0.6666666666666666,"['部件识别', '功能作用', '指定页面']",True,identification,0.5
12,参考文件中第6页的示意图，缆绳32一端连接固定板14，另一端绕过天轮41后，穿过哪个部件上的过孔最终连接到固定板14？,导向轮(31),主机架,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,参考文件中第6页的示意图，缆绳32一端连接固定板14，另一端绕过天轮41后，穿过哪个部件上的过孔最终连接到固定板14？,移动小车(22),主机架,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
13,根据专利文本，哪个部件负责驱动滑动箱移动以调节位置？,一号电机,丝杆和一号电机,0.5454545454545454,0.0,0.7272727272727273,"['位置关系', '部件识别']",False,unknown,根据专利文本，哪个部件负责驱动滑动箱移动以调节位置？,一号电机,丝杆和一号电机,0.5454545454545454,0.0,0.7272727272727273,"['位置关系', '部件识别']",True,position,0.0
14,在文件中第6页的图中，部件15（控制面板）相对于部件10（取样筒）的位置是：,位于部件10的左侧,在部件10的左下方,0.5,0.0,0.6666666666666666,"['位置关系', '指定页面']",False,unknown,在文件中第6页的图中，部件15（控制面板）相对于部件10（取样筒）的位置是：,位于部件10的左侧,在部件10的左下方,0.5,0.0,0.6666666666666666,"['位置关系', '指定页面']",True,position,0.0
15,在文件中第6页的图中，部件4（丝杆）相对于部件6（滑动箱）的位置关系是：,位于部件6的内部,部件4与部件6螺纹连接,0.31578947368421056,0.0,0.4210526315789474,"['位置关系', '指定页面']",False,unknown,在文件中第6页的图中，部件4（丝杆）相对于部件6（滑动箱）的位置关系是：,位于部件6的下方,部件4与部件6螺纹连接,0.23684210526315788,0.0,0.3157894736842105,"['位置关系', '指定页面']",True,position,0.07894736842105268
16,如果文件中第6页的顶板（图中未标号，但属于下样机构部件）与固定块14接触，接下来哪个部件会直接动作？,电磁铁(84),一号滑板,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,如果文件中第6页的顶板（图中未标号，但属于下样机构部件）与固定块14接触，接下来哪个部件会直接动作？,电磁铁84,一号滑板,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
17,在文件中第6页的图中，如果螺旋输送杆发生故障停止工作，哪个部件将直接受到影响？,下料斗,取样筒内的媒料,0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",False,unknown,在文件中第6页的图中，如果螺旋输送杆发生故障停止工作，哪个部件将直接受到影响？,螺旋输送杆,取样筒内的媒料,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.15000000000000002
18,根据专利文本，在厌氧运转时，采取什么措施来防止水上升到电机附近并堵塞开口孔？,在空心轴1的轴方向具有间隔地形成多个开口孔,在空心轴的轴方向具有间隔地形成多个开口孔。,0.7142857142857142,0.0,0.9523809523809523,['其他'],False,unknown,根据专利文本，在厌氧运转时，采取什么措施来防止水上升到电机附近并堵塞开口孔？,在空心轴1的轴方向具有间隔地形成多个开口孔,在空心轴的轴方向具有间隔地形成多个开口孔。,0.7142857142857142,0.0,0.9523809523809523,['其他'],False,other,0.0
19,根据专利文本，哪个部件的设置能够避免传动皮带出现偏移？,限位环,限位环,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，哪个部件的设置能够避免传动皮带出现偏移？,限位环,限位环,1.0,1.0,1.0,['部件识别'],True,identification,0.0
20,参考文件中第6页的图片，编号为201的部件相对于编号为1的部件的位置关系是？,位于右侧,位于上方,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown,参考文件中第6页的图片，编号为201的部件相对于编号为1的部件的位置关系是？,位于部件1的右侧,位于上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",True,position,0.125
21,参考文件中第6页的图片，气缸（5）位于哪个部件的下方？,顶板(4),顶板,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",False,unknown,参考文件中第6页的图片，气缸（5）位于哪个部件的下方？,顶板(4),顶板,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '指定页面']",True,position,0.0
22,在文件中第6页的示意图中，如果需要调节打孔钻头的高度，应该调整哪个部件？,气缸(5),气缸,0.4285714285714286,0.0,0.5714285714285715,"['部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，如果需要调节打孔钻头的高度，应该调整哪个部件？,气缸(5),气缸,0.4285714285714286,0.0,0.5714285714285715,"['部件识别', '指定页面']",True,identification,0.0
23,在文件中第6页的示意图中，如果要固定待加工工件的上侧面，需要调节定位机构中的哪个部件？,螺杆套,螺纹杆,0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown,在文件中第6页的示意图中，如果要固定待加工工件的上侧面，需要调节定位机构中的哪个部件？,螺杆套,螺纹杆,0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
24,根据文本信息，本发明的关键特征是什么？,使用产氢气耐酸细菌的球粒与有机物质接触反应产生氢气,使用其上截留和固定化产氢气耐酸细菌的球粒在pH4到6环境下生产氢气。,0.4067796610169492,0.0,0.5423728813559322,['部件识别'],False,unknown,根据文本信息，本发明的关键特征是什么？,使用产氢气耐酸细菌的球粒,使用其上截留和固定化产氢气耐酸细菌的球粒在pH4到6环境下生产氢气。,0.3913043478260869,0.0,0.5217391304347826,['部件识别'],True,identification,0.015475313190862261
25,在文件中第15页的示意图中，观察12X的上方，其管路连接的部件是什么？,12Y,气体管20X,0.16666666666666666,0.0,0.2222222222222222,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,在文件中第15页的示意图中，观察12X的上方，其管路连接的部件是什么？,12Y,气体管20X,0.16666666666666666,0.0,0.2222222222222222,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.0
26,在文件中第15页的示意图中，编号16的部件相对于编号12X的部件的位置是什么？,在编号12X的部件的右侧,位于12X的底部,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第15页的示意图中，编号16的部件相对于编号12X的部件的位置是什么？,在右侧,位于12X的底部,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",True,position,0.375
27,根据文件中第15页的示意图，若要调节氢气发酵器12Y内的pH值，需要通过哪个部件实现？,pH控制装置(14Y),通过pH控制装置14Y控制开关阀26Y，调节pH调解物供给管24Y的流量,0.28723404255319146,0.0,0.38297872340425526,"['部件识别', '指定页面']",False,unknown,根据文件中第15页的示意图，若要调节氢气发酵器12Y内的pH值，需要通过哪个部件实现？,pH控制装置(14Y),通过pH控制装置14Y控制开关阀26Y，调节pH调解物供给管24Y的流量,0.28723404255319146,0.0,0.38297872340425526,"['部件识别', '指定页面']",True,identification,0.0
28,观察文件中第15页的示意图，发酵原料进入第一氢气发酵器12X后，下一步骤是什么？,发酵液经废液管22X进入第二氢气发酵器12Y,经过废液管22X进入第二氢气发酵器12Y,0.6785714285714286,0.0,0.9047619047619048,"['部件识别', '指定页面']",False,unknown,观察文件中第15页的示意图，发酵原料进入第一氢气发酵器12X后，下一步骤是什么？,进行氢气发酵,经过废液管22X进入第二氢气发酵器12Y,0.28846153846153844,0.0,0.3846153846153846,"['部件识别', '指定页面']",True,identification,0.39010989010989017
29,根据专利文本，竖井支架安装用移动平台的主要功能是什么？,为工作人员提供站立空间,用于竖井支架的安装。,0.0,0.0,0.0,"['部件识别', '功能作用', '连接关系']",False,unknown,根据专利文本，竖井支架安装用移动平台的主要功能是什么？,提供作业空间，解决高空竖井支架安装难题,用于竖井支架的安装。,0.3103448275862069,0.0,0.41379310344827586,"['部件识别', '功能作用', '连接关系']",True,identification,-0.3103448275862069
30,在文件中第5页的图中，编号为3的部件是什么?,定位杆,定位杆,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页的图中，编号为3的部件是什么?,定位杆,定位杆,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
31,在文件中第5页的图中，编号为9的部件相对于编号为7的部件的位置关系是：,位于上方,位于编号7的上方且相交,0.4,0.0,0.5333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的图中，编号为9的部件相对于编号为7的部件的位置关系是：,位于左侧,位于编号7的上方且相交,0.2,0.0,0.26666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.2
32,在文件中第5页的图中，如果工作人员站在支撑网格6上，并且需要更稳定的支撑，可以通过哪个部件来实现？,承重杆5,通过支撑架2与竖井壁接触提供支撑。,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,在文件中第5页的图中，如果工作人员站在支撑网格6上，并且需要更稳定的支撑，可以通过哪个部件来实现？,支撑网格6,通过支撑架2与竖井壁接触提供支撑。,0.13636363636363635,0.0,0.1818181818181818,"['部件识别', '指定页面']",True,identification,-0.13636363636363635
33,在文件中第5页的图中，如果需要提高支撑台1的支撑强度，除了支撑架2外，还可以依靠哪个部件？,定位杆3,加强杆9,0.1875,0.0,0.25,"['部件识别', '指定页面']",False,unknown,在文件中第5页的图中，如果需要提高支撑台1的支撑强度，除了支撑架2外，还可以依靠哪个部件？,支撑架2,加强杆9,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.1875
34,根据文本信息，压铸镶嵌件自动加热上料机的作用是什么？,用于对物料进行加热,利用加热原理去除金属套表面油膜，并在膨胀状态下安装金属套,0.1216216216216216,0.0,0.16216216216216214,"['部件识别', '功能作用']",False,unknown,根据文本信息，压铸镶嵌件自动加热上料机的作用是什么？,加热装置,利用加热原理去除金属套表面油膜，并在膨胀状态下安装金属套,0.140625,0.0,0.1875,"['部件识别', '功能作用']",True,identification,-0.0190033783783784
35,根据专利描述，哪个部件用于在外接法兰盘抵触在档杆上时，方便和法兰盘进行对齐，有助于提升连接效率，降低工作人员的劳动强度？,螺母,档杆(7),0.0,0.0,0.0,"['部件识别', '功能作用', '连接关系']",False,unknown,根据专利描述，哪个部件用于在外接法兰盘抵触在档杆上时，方便和法兰盘进行对齐，有助于提升连接效率，降低工作人员的劳动强度？,档杆,档杆(7),0.4285714285714286,0.0,0.5714285714285715,"['部件识别', '功能作用', '连接关系']",True,identification,-0.4285714285714286
36,根据专利文本，该安全登高架的主要目的是为了解决什么问题？,解决梯子斜靠不稳易跌伤和收纳不便占用空间大的问题,解决维修时普通梯子不稳固和占用空间大的问题,0.5,0.0,0.6666666666666666,['功能作用'],False,unknown,根据专利文本，该安全登高架的主要目的是为了解决什么问题？,解决梯子斜靠不稳易跌伤和收纳不便占用空间大的问题,解决维修时普通梯子不稳固和占用空间大的问题,0.5,0.0,0.6666666666666666,['功能作用'],False,other,0.0
